TOMBO,EQUIPAMENTO_CSV,ID_CLIENTE_LEGADO,ID_CLIENTE_NOVO,CONTRACT_ID_CSV,CONTRATO_RESOLVIDO,ITEM_CSV,DESC_ITEM_CSV,ITEM_RESOLVIDO_ID,STATUS_FINAL,MOTIVO_EXATO
59561,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59564,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59565,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59566,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59600,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59603,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58912,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640IDW/L NS VRA3133519,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
57877,SCANNER BROTHER ADS-3600W NS U64279L9G332995,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
57879,SCANNER BROTHER ADS-3600W NS U64279L9G332987,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58890,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS M2640 IDW NS VRA3234236,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58885,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS M2640 IDW NS VRA3133651,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58941,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640 IDN/L NS VRA3234270,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58961,MULTIFUNCIONAL LASER MONO ECOSYS KYOCERA  P2640 IDN/L NS VRA3234266,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58944,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P3145 DN R4H3141362 NS R4H3141362,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59219,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P3145 DN NS R4H3541969,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58882,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS M2640 IDW NS VRA3133523,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58937,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640 IDN/L NS VRA2Z33462,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58908,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640 IDN/L NS VRA3133515,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58909,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640 IDN/L NS VRA2Z33418,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58938,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640 IDN/L NS VRA3133520,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58910,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640 IDN/L NS VRA3234262,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58881,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS M2640 IDW NS VRA2Z33349,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58940,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P2640 IDN/L NS,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
